Departamento,Año,total_actos,Poblacion,actos_per_capita,promedio_año,desviacion_pct
La Guajira,2023,98852.0,1027914.0,0.09616757822152437,0.46865888333774874,-79.48
La Guajira,2024,101869.0,1047859.0,0.09721632395198208,0.48624599164925736,-80.01
La Guajira,2025,104086.0,1066679.0,0.09757949673706898,0.5384586922773076,-81.88
Magdalena,2021,266774.0,1463123.0,0.18233190237594515,0.4825325455933578,-62.21
Magdalena,2022,317367.0,1485394.0,0.21365846368034339,0.49466079606957686,-56.81
Magdalena,2023,307058.0,1506027.0,0.20388611890756275,0.46865888333774874,-56.5
Magdalena,2024,345854.0,1526269.0,0.2266009464910838,0.48624599164925736,-53.4
Magdalena,2025,349680.0,1544507.0,0.22640234068217238,0.5384586922773076,-57.95
Meta,2021,872262.0,1104559.0,0.7896925379269012,0.4825325455933578,63.66
Meta,2022,1062557.0,1118349.0,0.9501121742854869,0.49466079606957686,92.07
Meta,2023,1014673.0,1131202.0,0.8969865682698581,0.46865888333774874,91.39
Meta,2024,1066046.0,1144286.0,0.9316254852370823,0.48624599164925736,91.6
Meta,2025,1274090.0,1156405.0,1.1017679792114354,0.5384586922773076,104.62
Nariño,2021,396479.0,1673585.0,0.23690401144847736,0.4825325455933578,-50.9
Nariño,2022,406200.0,1684282.0,0.24117101530503798,0.49466079606957686,-51.25
Nariño,2023,424076.0,1694158.0,0.25031667648471984,0.46865888333774874,-46.59
Nariño,2024,448294.0,1704383.0,0.26302421462781544,0.48624599164925736,-45.91
Nariño,2025,527009.0,1713586.0,0.30754744728306604,0.5384586922773076,-42.88
Norte De Santander,2021,627499.0,1640270.0,0.3825583592945064,0.4825325455933578,-20.72
Norte De Santander,2022,682805.0,1659814.0,0.41137440701187,0.49466079606957686,-16.84
Norte De Santander,2023,702128.0,1678058.0,0.41841700346471933,0.46865888333774874,-10.72
Norte De Santander,2024,670006.0,1694970.0,0.3952907721080609,0.48624599164925736,-18.71
Norte De Santander,2025,720280.0,1709289.0,0.421391584454121,0.5384586922773076,-21.74
Putumayo,2021,51435.0,368423.0,0.1396085477833903,0.4825325455933578,-71.07
Putumayo,2022,39962.0,374360.0,0.1067475157602308,0.49466079606957686,-78.42
Putumayo,2023,32899.0,379921.0,0.08659431829248712,0.46865888333774874,-81.52
Putumayo,2024,39823.0,385400.0,0.10332900882200312,0.48624599164925736,-78.75
Putumayo,2025,42405.0,390742.0,0.10852429480322054,0.5384586922773076,-79.85
Quindío,2021,579852.0,552571.0,1.049371031053023,0.4825325455933578,117.47
Quindío,2022,590357.0,554581.0,1.0645099633777573,0.49466079606957686,115.2
Quindío,2023,557537.0,555120.0,1.0043540135466205,0.46865888333774874,114.3
