Departamento,Año,Compraventa,Hipotecas,Cancelaciones de Hipotecas,Vivienda de InterÃ©s Social,Vivienda de InterÃ©s Prioritario,Vivienda de InterÃ©s Prioritario para Ahorradores,Sucesiones,Permutas,Otras  - Bien Inmueble,Contratos por Arrendamientos,Fiducia Mercantil,Leasing,ConstituciÃ³n de Sociedades,LiquidaciÃ³n de Sociedades,Reforma de Sociedad Comercial,Matrimonios Civiles,Matrimonios Civiles entre Personas del Mismo Sexo,Divorcios,Disoluciones de Uniones Maritales de Hecho,Disoluciones y/o Liquidaciones de sociedades conyugales,Correcciones del Registro Civil,Cambios de Nombre,LegitimaciÃ³n de Hijos,Capitulaciones Matrimoniales,Uniones entre Personas del Mismo Sexo,Actas de Comparecencia,Autenticaciones,Declaraciones Extra Juicio,Declaraciones de Supervivencia,Conciliaciones,Remates de Inmuebles,Copias del Registro Civil,Registros Civiles de Nacimiento,Registros Civiles de Matrimonio,Registros Civiles de DefunciÃ³n,CorrecciÃ³n del componente Sexo de Masculino a Femenino,Procedimientos Sobre Insolvencia EconÃ³mica
Caquetá,2021,5224.0,329.0,717.0,279.0,0.0,0.0,361.0,4.0,915.0,1.0,3.0,22.0,0.0,31.0,10.0,968.0,5.0,201.0,34.0,277.0,385.0,83.0,31.0,26.0,3.0,18.0,85084.0,10022.0,0.0,0.0,0.0,5885.0,1997.0,791.0,1333.0,4.0,6.0
Caquetá,2022,5306.0,306.0,684.0,201.0,0.0,0.0,447.0,12.0,953.0,0.0,6.0,22.0,0.0,52.0,5.0,1034.0,7.0,218.0,53.0,306.0,496.0,107.0,52.0,40.0,3.0,16.0,76312.0,10260.0,0.0,1.0,0.0,4794.0,1740.0,872.0,1083.0,2.0,0.0
Caquetá,2023,5626.0,423.0,612.0,175.0,0.0,0.0,327.0,12.0,1372.0,0.0,0.0,19.0,2.0,26.0,7.0,1006.0,14.0,245.0,40.0,316.0,530.0,111.0,26.0,33.0,0.0,19.0,79912.0,10286.0,4.0,1.0,0.0,6274.0,2048.0,1011.0,1139.0,3.0,0.0
Caquetá,2024,5177.0,402.0,634.0,153.0,0.0,0.0,277.0,5.0,1137.0,7.0,3.0,6.0,0.0,59.0,11.0,889.0,10.0,216.0,32.0,283.0,593.0,91.0,59.0,30.0,1.0,12.0,83177.0,9924.0,7.0,0.0,34.0,6832.0,1263.0,790.0,1006.0,2.0,9.0
Caquetá,2025,5631.0,367.0,599.0,127.0,0.0,0.0,263.0,10.0,1093.0,0.0,1.0,17.0,5.0,56.0,6.0,831.0,7.0,204.0,41.0,313.0,620.0,119.0,56.0,54.0,0.0,9.0,104254.0,10332.0,0.0,0.0,0.0,7772.0,1548.0,839.0,943.0,2.0,0.0
Caquetá,2026,611.0,43.0,25.0,12.0,0.0,0.0,30.0,0.0,130.0,0.0,0.0,0.0,1.0,5.0,1.0,135.0,0.0,71.0,21.0,34.0,150.0,15.0,5.0,9.0,0.0,0.0,26856.0,2152.0,0.0,0.0,0.0,66.0,200.0,152.0,119.0,1.0,27.0
Casanare,2021,5007.0,249.0,459.0,90.0,2.0,1.0,278.0,4.0,1069.0,0.0,5.0,5.0,2.0,10.0,5.0,453.0,2.0,143.0,14.0,54.0,200.0,82.0,10.0,7.0,1.0,52.0,126751.0,6933.0,0.0,1.0,0.0,113.0,10.0,35.0,12.0,0.0,3.0
Casanare,2022,7684.0,454.0,696.0,353.0,17.0,0.0,511.0,6.0,1398.0,2.0,11.0,6.0,4.0,7.0,2.0,581.0,3.0,186.0,28.0,100.0,416.0,93.0,7.0,11.0,0.0,61.0,181477.0,7639.0,32.0,1.0,0.0,31.0,16.0,23.0,0.0,1.0,0.0
Casanare,2023,6316.0,240.0,491.0,176.0,44.0,1.0,378.0,9.0,1365.0,0.0,8.0,7.0,5.0,10.0,2.0,425.0,3.0,154.0,22.0,82.0,389.0,108.0,10.0,8.0,1.0,71.0,144586.0,7326.0,1.0,1.0,0.0,120.0,29.0,94.0,2.0,1.0,2.0
Casanare,2024,9879.0,594.0,707.0,396.0,31.0,9.0,469.0,12.0,1293.0,3.0,25.0,16.0,1.0,16.0,4.0,527.0,3.0,182.0,19.0,189.0,393.0,122.0,16.0,16.0,0.0,40.0,258895.0,13196.0,11.0,15.0,0.0,160.0,43.0,67.0,27.0,1.0,0.0
Casanare,2025,9221.0,542.0,652.0,362.0,32.0,5.0,465.0,16.0,1295.0,3.0,6.0,44.0,6.0,13.0,14.0,546.0,5.0,197.0,26.0,219.0,371.0,127.0,13.0,21.0,0.0,36.0,283076.0,12185.0,0.0,6.0,0.0,210.0,309.0,70.0,103.0,11.0,0.0
Casanare,2026,1305.0,36.0,76.0,16.0,1.0,0.0,34.0,3.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,1.0,123.0,3.0,12.0,96.0,33.0,0.0,1.0,0.0,6.0,82078.0,3800.0,2.0,2.0,0.0,14.0,22.0,10.0,16.0,0.0,1.0
Cauca,2021,14319.0,681.0,1236.0,1256.0,69.0,1.0,1063.0,11.0,1852.0,1.0,107.0,1.0,16.0,15.0,35.0,1875.0,6.0,436.0,36.0,201.0,1415.0,614.0,15.0,37.0,5.0,180.0,279214.0,21855.0,2.0,3.0,0.0,24410.0,3799.0,2077.0,3727.0,7.0,0.0
Cauca,2022,12917.0,693.0,1337.0,1278.0,113.0,7.0,932.0,13.0,2053.0,0.0,68.0,2.0,8.0,4.0,16.0,1709.0,6.0,401.0,28.0,246.0,1765.0,744.0,4.0,39.0,5.0,358.0,263047.0,23009.0,570.0,2.0,0.0,20337.0,3713.0,2029.0,2963.0,17.0,0.0
Cauca,2023,10979.0,1080.0,968.0,1830.0,54.0,0.0,670.0,16.0,1804.0,1.0,80.0,3.0,1.0,3.0,21.0,1612.0,7.0,445.0,35.0,88.0,1786.0,637.0,3.0,53.0,5.0,288.0,225844.0,26182.0,3.0,2.0,1.0,18905.0,3303.0,1830.0,2657.0,10.0,0.0
Cauca,2024,11400.0,676.0,987.0,1439.0,43.0,1.0,978.0,22.0,2371.0,0.0,133.0,7.0,1.0,11.0,13.0,1698.0,2.0,533.0,70.0,111.0,1858.0,656.0,11.0,53.0,2.0,197.0,300141.0,26862.0,0.0,1.0,0.0,27502.0,9428.0,2677.0,3506.0,16.0,0.0
Cauca,2025,12632.0,531.0,1128.0,875.0,96.0,0.0,1112.0,15.0,2971.0,0.0,139.0,37.0,1.0,26.0,12.0,1733.0,3.0,540.0,53.0,148.0,1775.0,763.0,26.0,55.0,0.0,490.0,366739.0,28629.0,4.0,3.0,0.0,26208.0,10001.0,2315.0,3247.0,6.0,1.0
Cauca,2026,2235.0,129.0,289.0,139.0,5.0,0.0,100.0,4.0,368.0,0.0,5.0,2.0,0.0,3.0,7.0,352.0,2.0,68.0,7.0,21.0,414.0,173.0,3.0,14.0,0.0,105.0,109761.0,20806.0,1.0,0.0,0.0,9133.0,2160.0,402.0,738.0,2.0,0.0
Cesar,2021,10197.0,1688.0,2661.0,1211.0,81.0,0.0,617.0,26.0,4961.0,8.0,38.0,27.0,5.0,11.0,20.0,2030.0,3.0,412.0,18.0,194.0,844.0,384.0,11.0,21.0,0.0,98.0,361832.0,19981.0,6.0,9.0,0.0,32727.0,7379.0,1804.0,3623.0,3.0,3.0
Cesar,2022,10638.0,1813.0,2503.0,1196.0,100.0,5.0,776.0,32.0,5350.0,2.0,18.0,29.0,2.0,7.0,27.0,2088.0,16.0,440.0,26.0,250.0,1168.0,338.0,7.0,24.0,0.0,84.0,397467.0,20799.0,9.0,9.0,0.0,32097.0,8028.0,1936.0,2822.0,0.0,25.0
Cesar,2023,9188.0,2152.0,2070.0,1587.0,55.0,373.0,704.0,7.0,5641.0,2.0,37.0,30.0,4.0,13.0,25.0,1977.0,15.0,402.0,26.0,245.0,1063.0,264.0,13.0,24.0,0.0,46.0,344659.0,20283.0,4.0,4.0,39.0,27905.0,5175.0,1778.0,2648.0,5.0,16.0
Cesar,2024,9989.0,1562.0,2100.0,1408.0,254.0,182.0,706.0,20.0,5039.0,7.0,29.0,24.0,9.0,24.0,25.0,1962.0,16.0,375.0,27.0,176.0,1044.0,191.0,24.0,26.0,4.0,42.0,344646.0,21618.0,4.0,4.0,41.0,45974.0,4241.0,1686.0,2945.0,16.0,2.0
Cesar,2025,10922.0,1226.0,1912.0,681.0,332.0,187.0,777.0,6.0,3402.0,13.0,27.0,55.0,5.0,38.0,9.0,2034.0,13.0,422.0,66.0,206.0,1002.0,259.0,38.0,32.0,1.0,59.0,415933.0,23867.0,3.0,0.0,4.0,30815.0,3966.0,1720.0,2370.0,1.0,1.0
Cesar,2026,2508.0,223.0,392.0,206.0,42.0,66.0,144.0,3.0,846.0,4.0,0.0,5.0,1.0,2.0,3.0,481.0,2.0,109.0,18.0,40.0,303.0,76.0,2.0,3.0,1.0,1146.0,148600.0,7537.0,0.0,0.0,0.0,9867.0,1143.0,465.0,795.0,9.0,3.0
Chocó,2021,1546.0,31.0,123.0,150.0,27.0,0.0,133.0,6.0,564.0,0.0,2.0,0.0,0.0,3.0,6.0,478.0,0.0,53.0,4.0,40.0,279.0,297.0,3.0,10.0,0.0,47.0,52415.0,4579.0,1.0,1.0,0.0,6821.0,5910.0,480.0,1060.0,3.0,0.0
Chocó,2022,1434.0,31.0,95.0,259.0,6.0,0.0,177.0,2.0,515.0,0.0,2.0,0.0,1.0,2.0,4.0,400.0,1.0,52.0,4.0,39.0,291.0,207.0,2.0,3.0,0.0,78.0,53084.0,4400.0,16.0,0.0,0.0,5740.0,4888.0,504.0,1031.0,4.0,0.0
Chocó,2023,1876.0,31.0,79.0,328.0,4.0,0.0,127.0,1.0,554.0,0.0,5.0,0.0,3.0,1.0,13.0,356.0,3.0,40.0,2.0,47.0,289.0,193.0,1.0,4.0,0.0,48.0,41526.0,4087.0,3.0,1.0,0.0,4218.0,3444.0,441.0,943.0,11.0,0.0
Chocó,2024,1368.0,36.0,77.0,75.0,54.0,0.0,136.0,1.0,607.0,7.0,2.0,0.0,3.0,9.0,5.0,350.0,2.0,49.0,3.0,42.0,373.0,135.0,9.0,3.0,0.0,37.0,51165.0,3418.0,0.0,0.0,0.0,5207.0,4348.0,368.0,973.0,1.0,2.0
Chocó,2025,1656.0,22.0,64.0,175.0,164.0,10.0,126.0,0.0,690.0,0.0,0.0,0.0,0.0,1.0,5.0,451.0,1.0,68.0,4.0,35.0,301.0,147.0,1.0,3.0,0.0,121.0,64225.0,3693.0,42.0,1.0,32.0,6721.0,5292.0,452.0,912.0,4.0,0.0
Chocó,2026,467.0,4.0,21.0,62.0,3.0,0.0,42.0,0.0,4716.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,10.0,1.0,12.0,79.0,47.0,1.0,1.0,0.0,17.0,21575.0,1043.0,0.0,0.0,0.0,2258.0,1886.0,82.0,340.0,0.0,0.0
Cundinamarca,2021,45463.0,1924.0,4399.0,2022.0,940.0,1.0,4121.0,133.0,13674.0,1.0,569.0,224.0,15.0,75.0,175.0,3652.0,42.0,1489.0,103.0,725.0,2513.0,618.0,75.0,218.0,14.0,1192.0,1264163.0,77899.0,9.0,90.0,3.0,48262.0,9417.0,4711.0,7872.0,6.0,3.0
Cundinamarca,2022,43342.0,1771.0,4240.0,1298.0,602.0,36.0,4808.0,157.0,15300.0,10.0,529.0,125.0,18.0,70.0,135.0,4269.0,48.0,1462.0,113.0,689.0,3292.0,697.0,70.0,222.0,17.0,3370.0,1114472.0,66795.0,7.0,63.0,4.0,41309.0,8104.0,5343.0,5337.0,2.0,4.0
Cundinamarca,2023,37635.0,1713.0,4369.0,2769.0,1033.0,6.0,4591.0,127.0,15169.0,10.0,418.0,161.0,12.0,71.0,162.0,4122.0,48.0,1267.0,132.0,681.0,3387.0,760.0,71.0,237.0,6.0,996.0,1173677.0,65691.0,95.0,59.0,1.0,40993.0,5723.0,4658.0,4855.0,2.0,5.0
Cundinamarca,2024,36918.0,1833.0,4629.0,3274.0,1332.0,2.0,3857.0,114.0,14875.0,2.0,487.0,139.0,22.0,173.0,137.0,4099.0,69.0,1217.0,147.0,696.0,3360.0,708.0,173.0,225.0,11.0,1237.0,1231403.0,64778.0,34.0,311.0,0.0,39779.0,5160.0,4524.0,5032.0,8.0,22.0
Cundinamarca,2025,40906.0,2027.0,5200.0,3977.0,556.0,9.0,4521.0,114.0,14609.0,1.0,789.0,174.0,7.0,67.0,131.0,3980.0,44.0,1196.0,207.0,856.0,3231.0,795.0,67.0,202.0,7.0,863.0,1682626.0,70617.0,36.0,41.0,3.0,44455.0,5371.0,3942.0,5434.0,5.0,3.0
Cundinamarca,2026,9053.0,585.0,1438.0,467.0,38.0,2.0,503.0,18.0,4697.0,0.0,21.0,31.0,11.0,6.0,40.0,887.0,14.0,271.0,23.0,154.0,806.0,202.0,6.0,45.0,3.0,3842.0,362271.0,20641.0,25.0,3.0,2.0,12191.0,1371.0,1169.0,1331.0,5.0,0.0
Córdoba,2021,11394.0,891.0,1369.0,966.0,3.0,5.0,837.0,14.0,4721.0,16.0,6.0,42.0,8.0,22.0,64.0,1448.0,4.0,307.0,29.0,156.0,815.0,170.0,22.0,27.0,0.0,215.0,437555.0,20564.0,47.0,6.0,0.0,35968.0,9454.0,2611.0,5399.0,2.0,2.0
Córdoba,2022,9924.0,758.0,1268.0,710.0,58.0,1.0,929.0,16.0,3656.0,6.0,13.0,52.0,15.0,18.0,49.0,1236.0,4.0,225.0,29.0,264.0,714.0,174.0,18.0,13.0,3.0,206.0,317860.0,19284.0,0.0,2.0,0.0,25058.0,7952.0,2241.0,3632.0,18.0,1.0
Córdoba,2023,9544.0,1069.0,1014.0,861.0,69.0,0.0,850.0,15.0,4727.0,5.0,9.0,44.0,16.0,23.0,57.0,1231.0,5.0,239.0,27.0,193.0,787.0,188.0,23.0,28.0,2.0,179.0,413922.0,19758.0,10.0,2.0,1.0,28639.0,6974.0,2353.0,4008.0,11.0,17.0
Córdoba,2024,11153.0,1154.0,1175.0,852.0,26.0,0.0,871.0,11.0,4535.0,11.0,11.0,71.0,16.0,85.0,69.0,1317.0,4.0,296.0,41.0,302.0,974.0,187.0,85.0,23.0,4.0,101.0,475378.0,27001.0,83.0,4.0,0.0,29116.0,6625.0,2580.0,3901.0,7.0,13.0
Córdoba,2025,11386.0,900.0,1199.0,549.0,44.0,1.0,944.0,31.0,4615.0,22.0,3.0,81.0,13.0,71.0,57.0,1584.0,4.0,268.0,35.0,314.0,1149.0,219.0,71.0,28.0,1.0,132.0,498107.0,23048.0,33.0,3.0,2.0,28981.0,6500.0,2966.0,4455.0,6.0,41.0
Córdoba,2026,1759.0,178.0,230.0,29.0,3.0,0.0,100.0,2.0,801.0,0.0,2.0,7.0,3.0,2.0,6.0,297.0,3.0,64.0,11.0,61.0,169.0,48.0,2.0,12.0,0.0,27.0,107869.0,5459.0,2.0,1.0,0.0,8295.0,1234.0,581.0,1135.0,4.0,41.0
Guainía,2021,157.0,14.0,22.0,0.0,181.0,0.0,9.0,2.0,47.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,1.0,6.0,4.0,1.0,8.0,10.0,0.0,0.0,0.0,0.0,10663.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guainía,2022,159.0,13.0,26.0,0.0,39.0,0.0,8.0,3.0,51.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,4.0,1.0,0.0,12.0,13.0,0.0,2.0,0.0,0.0,10589.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guainía,2023,163.0,17.0,22.0,0.0,2.0,0.0,6.0,3.0,51.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,6.0,3.0,0.0,11.0,13.0,0.0,0.0,0.0,0.0,10456.0,529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Guainía,2024,177.0,13.0,25.0,1.0,3.0,0.0,10.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,5.0,1.0,4.0,5.0,6.0,0.0,3.0,0.0,3.0,16061.0,645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
